"taxonUUID","taxonRank","kingdom","simplifiedScientificName","protectedStatusTW","new_protected","source_process"
"926dab31-c7de-4084-be50-12de35254405","species","Animalia","Paroaria coronata","II","","protected_change_sp_output"
"d08669ba-8e9e-4d01-b96e-4265d17bc96d","species","Animalia","Hypsiscopus wettsteini","III","","protected_change_sp_output"
"bf3f11ab-ffc4-4d05-a191-ca3f1a8dc493","species","Animalia","Chimarrogale leander","II","","protected_change_sp_output"
"14d0933d-08f2-403c-83d6-96c8479ec3f7","species","Animalia","Rousettus leschenaultii","II","","protected_change_sp_output"
"a225e20b-9a77-4033-b833-fc8db006fdec","species","Animalia","Balaenoptera taiwanica","II","","protected_change_sp_output"
"ce128479-d544-417d-a4c2-d1d715a7673f","species","Animalia","Circus aeruginosus","II","","protected_change_sp_output"
"d304e9f1-dbf5-4465-83cc-e6eea92a1afc","species","Animalia","Lentipes mindanaoensis","III","","protected_change_sp_output"
"29a5affd-82db-4f27-8087-547953db793d","species","Animalia","Rhinogobius lanyuensis","","珍貴稀有保育類野生動物","protected_change_output"
"1638a432-d2fd-473f-bac2-5c1fe2a70c20","species","Animalia","Trimerodytes annularis","珍貴稀有保育類野生動物","瀕臨絕種保育類野生動物","protected_change_output"
"4eb2f8d6-c656-452a-8fcf-bf34d9f6f2a4","species","Animalia","Naja atra","","珍貴稀有保育類野生動物","protected_change_output"
"d172ef75-341a-412e-a8c4-9aefbe0b9637","species","Animalia","Geochelone elegans","","珍貴稀有保育類野生動物","protected_change_output"
"23e7cfbb-7342-496e-8223-969a3790dd54","species","Animalia","Indotestudo elongata","","珍貴稀有保育類野生動物","protected_change_output"
"8d8634ef-b32f-4bb0-8bc4-83cbae1fd1e1","infraspecies","Animalia","Nisaetus nipalensis nipalensis","","瀕臨絕種保育類野生動物","protected_change_output"
"9daa4aa9-c9ed-4ed0-83df-4120e5966cf5","infraspecies","Animalia","Phasianus colchicus formosanus","","珍貴稀有保育類野生動物","protected_change_output"
"01125462-4b56-411a-aa54-a3fcd4324da7","infraspecies","Animalia","Pachyrhynchus nobilis yamianus","","珍貴稀有保育類野生動物","protected_change_output"
"3202dfd5-62aa-430f-aa2b-b666f144ca2d","infraspecies","Animalia","Pachyrhynchus sarcitis kotoensis","","珍貴稀有保育類野生動物","protected_change_output"
"d7bc3d04-5be2-44a8-834a-cf5e5d566747","infraspecies","Animalia","Sasakia charonda formosana","","瀕臨絕種保育類野生動物","protected_change_output"
"f63b489a-0daf-4d23-a912-a8a3232d50aa","infraspecies","Animalia","Troides aeacus kaguya","","其他應予保育之野生動物","protected_change_output"
"1685f070-42f9-4252-8c42-f9e406600d27","infraspecies","Animalia","Troides magellanus sonani","","瀕臨絕種保育類野生動物","protected_change_output"
"fefb359f-2c2f-4dbf-934e-35be727b1d32","species","Animalia","Canis lupus","","珍貴稀有保育類野生動物","protected_change_output"
"fa429082-a61c-43ae-956b-f1ab64285268","species","Animalia","Fregata andrewsi","","瀕臨絕種保育類野生動物","protected_change_output"
"9257f937-a5bb-427e-97a4-edc17c6441a6","species","Animalia","Aquila chrysaetos","","珍貴稀有保育類野生動物","protected_change_output"
