folder_name,file_name,row_count
output_namecheck,combine.table_namecheck .csv,669
output_namecheck,combine.table_nomatch.csv,242
output_namecheck,TT_selected_noID.csv,194
output_sensitive change,extra_taxon_sensitive_Animalia_TT.csv,0
output_sensitive change,sensitive_change_output.csv,0
output_sensitive change,TT_selected_light_sensitive_wrong.csv,91
output_redlistTW change,extra_date_redlistTW_Animalia_TT.csv,0
output_redlistTW change,extra_taxon_redlistTW_Animalia.csv,3
output_redlistTW change,extra_taxon_redlistTW_Plantae.csv,4535
output_redlistTW change,redlistTW_change_final_output.csv,951
output_redlistTW change,redlistTW_change_final_output_date.csv,84
output_redlistTW change,redlistTW_TRUE.csv,49725
output_IUCN change,extra_taxon_iucn_Animalia.csv,191
output_IUCN change,extra_taxon_iucn_Plantae.csv,1697
output_IUCN change,IUCN_change_final_output.csv,43
output_IUCN change,IUCN_TRUE.csv,50744
output_protected change,extra_taxon_protected_Animalia.csv,3
output_protected change,extra_taxon_protected_Plantae.csv,4
output_protected change,protected_change_final_output.csv,22
output_protected change,protected_TRUE.csv,50786
